,Stock Symbol,Timestamp,Tweet,Likes,Retweets
0,NVDA,2024-07-07 18:54:20+00:00,$NVDA New alerts have been posted in the last 2 hours&gt;&gt;:➡️ https://t.co/mbaWH6uGMs,0,0
1,NVDA,2024-07-07 18:54:15+00:00,"@volpe1_ Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnk6g",0,0
2,NVDA,2024-07-07 18:54:07+00:00,"**Join the most lucrative trading community. Achieve profits of up to 574%!**  
https://t.co/MJWDhmI5xw

$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL https://t.co/hti1RzT8qM",0,0
3,NVDA,2024-07-07 18:53:56+00:00,"@namesurnam94456 @OdyExchange Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnk6g",0,0
4,NVDA,2024-07-07 18:53:48+00:00,"RT @DTConsultations: #phoenix_AI soon…. Free trail

$NVDA, $MU, $TSLA, $AAPL, $AMZN, $GME and many more 

Like+Retweet+Comment to enter the…",0,118
5,NVDA,2024-07-07 18:53:46+00:00,#DhoniForLife #MSDhoni #PakistanCricket #Uranus2324FanconD1 #الارجنتين_كندا #ZimVsIndOnSony follow @DrawDownKing for secrets of the universe  $gme #gme $nvda #nvda https://t.co/0z5GuWoaOy,0,0
6,NVDA,2024-07-07 18:53:41+00:00,"@dezureaugurk Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
7,NVDA,2024-07-07 18:53:39+00:00,"RT @blondebroker1: I get so excited when I see the monthly tech earnings calendar! Lots to look forward to:
Banks kick off this week and ne…",0,72
8,NVDA,2024-07-07 18:53:22+00:00,"https://t.co/sAj2Q3BRrH
$GME #AMCSTOCK #AMCDISTRIBUTION $MULN #StockMarket #BREAKINGNEWS $AMC #AMCAPES #MOASS $MULN #AMCSTRONG $HOOD #RoaringKitty #GameStop #APESNEVERLEAVING $MMTLP $NVDA $TSLA #FOMC #GMESTOCK $FFIE $BTC $AAPL $CHWY $SPY $VIX $AAPL #RyanCohen $GME $KOSS  #KOSS",1,0
9,NVDA,2024-07-07 18:53:16+00:00,$nvda  caught by our analyst in premarket.  https://t.co/AUr64DhjsC,0,0
10,NVDA,2024-07-07 18:53:15+00:00,"@Banan9135040281 Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
11,NVDA,2024-07-07 18:53:06+00:00,"☛☛☛ Maximize profits. Stay patient and let the trade play out

Discord Link Here ➡️https://t.co/kuJ1UYZSHU

$AAPL $VKTX $FFIE $AMC $GWAV $CRKN $SPY $GNS $HOLO $NVDA $CYN $BSFC $MULN $NFLX $QQQ $META $RENT $GME $TTWO $AMAT $WMT $CBRL $TSLA https://t.co/4UIfBurq8o",0,0
12,NVDA,2024-07-07 18:53:05+00:00,"$NVDA short term play. 
Nice consolidation on H1 &amp; H4
Sitting on a H4 FVG 
2 situations here, we either build in this LTF OTE or we just go off from here. https://t.co/h7jJWxUtO5",0,0
13,NVDA,2024-07-07 18:53:00+00:00,"@amplitude101 Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnk6g",0,0
14,NVDA,2024-07-07 18:52:47+00:00,"RT @unusual_whales: This week, Pelosi disclosed purchasing $NVDA and $AVGO.

$AVGO rallied as a result.

Do you think politicians should be…",0,68
15,NVDA,2024-07-07 18:52:45+00:00,"@Mysterytrader11 Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
16,NVDA,2024-07-07 18:52:34+00:00,"@oneintent_ Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
17,NVDA,2024-07-07 18:52:28+00:00,"RT @DTConsultations: #phoenix_AI soon…. Free trail

$NVDA, $MU, $TSLA, $AAPL, $AMZN, $GME and many more 

Like+Retweet+Comment to enter the…",0,118
18,NVDA,2024-07-07 18:52:26+00:00,"@pldkptg Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnk6g",0,0
19,NVDA,2024-07-07 18:52:24+00:00,@steven_3DPA @GrindeOptions Dump Nvda too?,0,0
20,NVDA,2024-07-07 18:52:12+00:00,"@The_SL_Hunter Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnk6g",0,0
21,NVDA,2024-07-07 18:51:45+00:00,"#Earnings before the market open tomorrow

Discord Link Here ➡️https://t.co/kuJ1UYZSHU

$INTC $PYPL $CSCO $MRNA $VZ $GE $MU $SQ $PFE $QCOM $NKE $GM $F $CAT $ADBE $NVDA $AAPL $TSLA $IBM $CRM $ORCL https://t.co/Cx1LpLfa1j",0,0
22,NVDA,2024-07-07 18:51:42+00:00,"RT @DTConsultations: #phoenix_AI soon…. Free trail

$NVDA, $MU, $TSLA, $AAPL, $AMZN, $GME and many more 

Like+Retweet+Comment to enter the…",0,118
23,NVDA,2024-07-07 18:51:25+00:00,"https://t.co/sAj2Q3BRrH
$GME #AMCSTOCK #AMCDISTRIBUTION $MULN #StockMarket #BREAKINGNEWS $AMC #AMCAPES #MOASS $MULN #AMCSTRONG $HOOD #RoaringKitty #GameStop #APESNEVERLEAVING $MMTLP $NVDA $TSLA #FOMC #GMESTOCK $FFIE $BTC $AAPL $CHWY $SPY $VIX $AAPL #RyanCohen $GME $KOSS #KOSS",0,0
24,NVDA,2024-07-07 18:51:21+00:00,"@bright29141 @albert_trades Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
25,NVDA,2024-07-07 18:51:07+00:00,"@t1s2v3t4 @albert_trades Say hi 👋 on telegram to join Crypto Rover coaching mentor program sessions and instant access to signals and copy trades
#BTC #MBLY #Stocks #NVDA #TSLA #PLTR
Click on the link below 
🚀📈
⬇️⬇️⬇️
https://t.co/KSfojNnRVO",0,0
